,Umap_1,Umap_2
Or10Al6,2.0467877,6.8924756
Or10Al7,6.1265645,7.2755446
Or10Am5,2.6347525,8.039842
Or10B1,6.3472705,7.1766233
Or10C1,5.9015007,7.923354
Or10D1,4.2030907,7.4433074
Or10D1B,5.1764064,4.5570483
Or10D1C,5.005423,4.590623
Or10D3,2.3136065,7.1896033
Or10D4,4.419682,7.4957986
Or10D4B,4.374925,7.507318
Or10D4C,4.300214,7.50279
Or10D5,4.2369194,7.5349603
Or10D5J,4.2637734,7.5620117
Or10G1,3.0658991,7.7585754
Or10G1B,3.0417745,7.7508235
Or10G3,3.0082679,7.7463737
Or10G3B,3.2230644,7.7874823
Or10G6,8.852171,4.615828
Or10G7,3.0359738,7.763242
Or10G9,9.477928,5.1191163
Or10G9B,3.042783,7.7687345
Or10H1,7.328138,5.673098
Or10H1B,7.3682184,5.6327424
Or10H28,7.3965664,5.674209
Or10J3,8.546016,8.227849
Or10J3B,8.558428,8.222577
Or10J5,8.197459,8.084571
Or10J7,9.223019,6.4607325
Or10K2,6.149281,7.0891714
Or10N1,6.061573,4.4160004
Or10P1,9.091003,6.309288
Or10P21,6.2160115,7.673776
Or10P22,6.6975503,7.254179
Or10Q12,6.5129957,7.3866253
Or10Q1B,6.6341143,7.1272955
Or10Q3,6.5945015,8.775544
Or10S1,2.165131,6.8749347
Or10U3,9.286914,7.4073696
Or10U4,9.00278,7.992637
Or10V1,6.5047746,7.2752213
Or10V5,6.4652753,7.3167973
Or10V9,6.451864,7.274362
Or10W1,5.8205247,6.3049526
Or10X1,5.829747,4.437564
Or10X4,9.558403,8.263968
Or10Z1,7.4177914,8.332271
Or11A4,7.9489813,7.0301857
Or11G1,9.349074,5.4180903
Or11G2,5.6122403,5.1162953
Or11G24,4.9126773,6.0641527
Or11G25,7.0438232,4.867978
Or11G26,7.0385156,4.85228
Or11G27,7.0994453,4.912115
Or11G7,7.245501,4.689488
Or11H23,7.4871297,4.5952806
Or11H4,9.505003,3.5120547
Or11H4B,9.451611,3.4432833
Or11H6,5.876659,5.0070777
Or11H7,7.4785776,4.5664105
Or11I1,2.934914,6.437797
Or11J4,9.403366,5.529913
Or11L3,7.43504,7.654533
Or11M3,4.840911,5.6799946
Or11N2,7.502623,7.73254
Or11Q2,6.6662655,6.1614995
Or12D12,2.617679,6.0702624
Or12D13,2.406596,7.0446606
Or12D17,8.591848,4.521109
Or12D2,8.646052,3.8699417
Or12E1,9.15479,6.498826
Or12E10,9.155629,7.460621
Or12E13,6.4974346,5.8156824
Or12E7,8.988423,8.129952
Or12E8,6.3939514,5.698733
Or12E9,6.181135,5.58435
Or12J2,2.4327173,6.774574
Or12J3,2.0062163,6.893998
Or12J4,3.762786,5.2302794
Or12J5,2.369197,5.7609763
Or12K5,3.0047693,7.398501
Or12K7,6.1065617,8.203966
Or12K8,6.1104817,8.086693
Or13A1,5.652537,8.062323
Or13A17,1.7663949,7.128903
Or13A18,1.7698791,7.032001
Or13A19,2.9071584,6.757514
Or13A20,1.7363356,7.088757
Or13A21,4.130177,5.3834004
Or13A22,6.2218328,8.4668045
Or13A24,1.7608694,7.0633645
Or13A25,5.305706,5.700468
Or13A26,6.1896515,8.414291
Or13A27,1.7213503,7.0990705
Or13A28,1.6332504,7.07307
Or13C25,6.654339,10.156085
Or13C3,6.6101837,10.22386
Or13C7,6.6091533,10.227038
Or13C7B,6.6344447,10.203837
Or13C7C,6.5916033,10.216134
Or13C7D,6.6031566,10.236928
Or13D1,2.2629027,7.5256405
Or13E8,6.558372,10.266909
Or13F5,7.4027014,8.505037
Or13G1,8.066314,6.589169
Or13J1,2.25633,7.553612
Or13L2,5.858982,9.098285
Or13N4,9.421777,6.634138
Or13P10,6.6261687,7.0598526
Or13P3,9.279506,5.626781
Or13P4,9.474968,8.0072155
Or13P5,6.316814,5.1838326
Or13P8,9.407825,8.001617
Or14A256,7.132575,8.959404
Or14A257,7.162595,8.913174
Or14A258,6.5243454,6.178299
Or14A259,7.1074862,8.876642
Or14A260,8.312518,7.6548324
Or14C39,9.45073,5.75872
Or14C40,9.337144,6.058617
Or14C41,9.4693165,5.7154818
Or14C43,9.359744,5.8523164
Or14C44,9.463783,5.7329755
Or14C45,9.493913,5.442854
Or14C46,7.9812937,7.972978
Or14J1,7.3655105,6.151859
Or14J10,6.175287,7.003021
Or14J2,6.2263722,7.000538
Or14J3,8.247405,7.6723447
Or14J4,5.9874363,7.148986
Or14J5,8.277508,7.655433
Or14J6,8.344063,7.5545964
Or14J7,8.230877,7.6912284
Or14J8,8.320248,7.669088
Or14J9,8.177261,7.785422
Or51A10,2.4913015,8.941059
Or51A24,2.5594816,8.9827795
Or51A25,3.876707,9.089942
Or51A39,3.2257633,8.969796
Or51A43,2.448573,9.058812
Or51A5,3.5491104,9.470437
Or51A6,2.8342206,9.015683
Or51A7,3.1269155,9.072404
Or51A8,3.7205784,9.01673
Or51Aa2,6.5906167,7.5450673
Or51Aa5,2.5892096,8.906376
Or51Ab3,2.4539444,9.47544
Or51Ac3,2.9823775,9.0532055
Or51Af1,2.6300077,8.900627
Or51Ag1,2.5888658,8.911619
Or51Ai2,3.4597986,9.717359
Or51B17,4.2734766,9.162619
Or51B4,2.7157896,9.102528
Or51B6,4.2019334,9.155356
Or51B6B,2.9171789,9.038386
Or51D1,6.563641,6.0254993
Or51E1,6.5499854,7.5035973
Or51F1,2.4095314,9.157478
Or51F1D,2.341933,9.328559
Or51F1E,2.468161,9.095464
Or51F2,3.0533118,8.977322
Or51F23,3.7533693,8.90226
Or51F23B,3.6473224,8.878009
Or51F5,4.6150527,6.997358
Or51G1,3.0776324,8.96424
Or51G2,3.0310783,8.954687
Or51H1,2.5687304,8.9297285
Or51H5,3.8416052,8.979935
Or51I1,2.6011336,8.932804
Or51I2,2.4981143,8.99722
Or51K1,2.5472908,8.970946
Or51K2,2.5099893,8.978073
Or51M1,2.959037,9.076515
Or51Q1,2.3986933,9.340372
Or51Q1C,2.373494,9.254955
Or51S1,2.6321,8.914784
Or51V14,4.474921,9.240639
Or51V8,7.9597206,6.646893
Or52A20,3.291037,9.514378
Or52A24,3.2217572,9.454315
Or52A33,2.4766798,9.43356
Or52A5,3.4255302,9.656528
Or52A5B,3.3611343,9.759967
Or52Ab2,3.8630328,9.273221
Or52Ab4,3.8765934,9.475776
Or52Ab7,3.8682954,9.46942
Or52Ac1,2.5661364,9.693149
Or52Ad1,3.6329079,6.555816
Or52Ae7,2.5884762,9.751644
Or52Ae9,2.7350044,9.715806
Or52B1,2.5213873,9.829681
Or52B3,2.4545882,9.68166
Or52D1,2.7515585,9.9816
Or52D13,4.31162,9.358365
Or52D3,2.9256477,9.830017
Or52E15,2.8565075,10.094063
Or52E18,2.8177552,10.165629
Or52E19,4.233896,9.498438
Or52E19B,2.8333893,10.119158
Or52E2,2.8965404,10.08595
Or52E3,3.1041353,9.939899
Or52E5,3.0438123,10.024696
Or52E7,2.710706,10.208082
Or52E8,2.7392895,10.119035
Or52E8B,2.7943861,10.191358
Or52H1,2.6661737,10.024357
Or52H2,2.551223,9.9920225
Or52H7,2.6401627,9.792188
Or52H9,2.463264,9.784863
Or52I2,4.6767473,4.806236
Or52J3,3.081057,9.989452
Or52K2,2.3366365,9.521321
Or52L1,3.4544547,9.65731
Or52M1,2.3738148,9.590144
Or52N2,2.8025663,10.310615
Or52N20,2.7531803,10.360394
Or52N2B,3.6746037,9.711514
Or52N2C,2.7876813,10.324528
Or52N3,2.742193,10.371123
Or52N4,2.7752926,10.400685
Or52N4B,2.7549345,10.35253
Or52N5,3.7340996,9.6475725
Or52P1,2.7971828,9.43926
Or52P2,3.7500138,9.610059
Or52R1,4.604962,9.440209
Or52R1B,3.6987345,9.709263
Or52R1C,4.779928,9.390648
Or52S1,3.9733636,9.500417
Or52S19,4.79724,9.374208
Or52S1B,4.2108417,9.521503
Or52S6,3.8530068,9.468608
Or52W1,2.8521993,10.142588
Or52X1,3.6509874,9.329814
Or52Z1,2.9970038,9.889054
Or52Z12,2.6095815,10.174441
Or52Z13,3.1921875,9.348206
Or52Z14,2.5796463,10.094666
Or55B10,2.7238266,9.757693
Or55B3,2.6069634,9.708794
Or55B4,1.8562007,6.6267185
Or56A3,2.870789,9.710858
Or56A3B,2.8522253,9.595401
Or56A4,2.895224,9.689619
Or56A5,4.7050943,9.26753
Or56B1,4.2885747,8.935861
Or56B2,3.7176552,9.494966
Or56B2J,2.0490403,6.065895
Or56B34,4.016552,9.346629
Or56B35,3.8454728,9.493771
