,Olfr,PC1 (1.41%),PC2 (1.11%),rtp_ko,new_cluster,zone,identity,stress_score,DL_OR,Class
242,Olfr1272,-1.4253366983197222,3.511943975331645,,2.0,2.5,High Stress,2.715314791110587,Or4b1b,4
243,Olfr1274,-2.440845441339673,-5.7153031437557065,,,,,,Or4x13,4
244,Olfr1274-ps,-2.440845441339673,-5.7153031437557065,,2.0,2,Low Stress,-0.2733876707222648,,
245,Olfr1275,-6.998466469655517,-1.1994288070974968,oOR,2.0,5,Low Stress,-3.948422269132656,Or4f52,4
246,Olfr1276,-0.0629203394208065,-7.838186007859511,,2.0,5,High Stress,0.0058086294930612,Or4f53,4
247,Olfr1277,-2.527163411361282,-1.9071261488769649,,2.0,5,Low Stress,-0.6505002506597927,Or4k35,4
248,Olfr1278,-3.1320888581014743,1.031447511719671,oOR,2.0,5,Low Stress,-1.7496856935475464,Or4f54,4
249,Olfr1279,4.657439352681171,0.7368214625246581,,2.0,5,Low Stress,-2.9554690010211644,Or4g16,4
250,Olfr128,3.882117996351612,-3.639398245227862,,3.0,4,High Stress,0.703938864594111,Or14j7,14
251,Olfr1280,-4.949481316421918,-3.1571308721498945,oOR,2.0,5,Low Stress,-1.0200426712145838,Or4k36,4
252,Olfr1281,-1.8988599721749684,1.5921689826065213,oOR,2.0,5,Low Stress,-2.953765306043573,Or4k37,4
253,Olfr1282,-0.3518800208515729,-0.2196151535146999,,2.0,4.5,Low Stress,-2.7026383707448747,Or4k38,4
254,Olfr1283,-4.949481316421918,-3.1571308721498945,oOR,2.0,4.5,Low Stress,-1.0662295764568326,Or4k77,4
255,Olfr1284,4.657439352681171,0.7368214625246581,,2.0,4.5,Low Stress,-0.1179591497526401,Or4g17,4
256,Olfr1285,-8.357947921179736,-1.6435634580424705,,,,,,,
257,Olfr1286,-8.357947921179736,-1.6435634580424705,oOR,2.0,3.5,Low Stress,-1.6662563826335155,Or4k40,4
258,Olfr1287,-0.3518800208515729,-0.2196151535147,,2.0,,High Stress,0.87906147534181,Or4k41,4
259,Olfr1288,-0.7216913162341897,-3.61927864943313,oOR,2.0,3,Low Stress,-1.798980937177686,Or4g7,4
260,Olfr1289,-1.072488712667234,1.0281830469284592,oOR,2.0,3,Low Stress,-0.656328608247114,Or4f4b,4
261,Olfr129,-1.4036212913756936,6.7056187319187535,oOR,3.0,2,Low Stress,-1.1726405424935542,Or10al7,10
262,Olfr1290,2.2400119024021823,-10.504545508855797,uOR,2.0,3,High Stress,1.6885177221170644,Or4k42,4
263,Olfr1291-ps1,6.754614619218622,-7.388042991952177,,2.0,,Low Stress,-0.5601448592562118,,
264,Olfr1293-ps,-1.072488712667234,1.0281830469284592,,2.0,,Low Stress,-0.7067971334806885,,
265,Olfr1294,2.5651799018530763,-2.45859998400466,uOR,2.0,3.5,High Stress,0.9366259320219844,Or4k44,4
266,Olfr1295,-2.7096568426433434,-1.074400127514149,oOR,2.0,3,Low Stress,-1.063280149644211,Or4k45,4
267,Olfr1297,-2.7096568426433434,-1.074400127514149,oOR,2.0,2.5,High Stress,0.7947707203625383,Or4k47,4
268,Olfr1298,2.361648966407825,2.2986001445432818,,2.0,3.5,Low Stress,-0.5850848460703137,Or4k48,4
269,Olfr1299,-1.649218135312834,-4.047189154578134,oOR,2.0,2,High Stress,1.7431622232501416,Or4k49,4
270,Olfr13,-5.669379659810728,2.14037325284375,uOR,3.0,2,High Stress,0.0898066048494561,Or2a7,2
271,Olfr130,3.224420151812653,-9.587423031816556,uOR,3.0,3,Low Stress,-0.1597450262896777,Or2g7,2
272,Olfr1301,2.139612767546624,-9.008766948175769,uOR,2.0,3.5,High Stress,1.122576986131691,Or4k51,4
273,Olfr1302,1.0491841258974186,-8.107464879002912,uOR,2.0,2,High Stress,1.326436533300407,Or4k52,4
274,Olfr1303,-5.193451065250107,1.9787364769112528,oOR,2.0,2.5,Low Stress,-2.341745938727894,Or4f7,4
275,Olfr1305,-8.008344126217814,0.8882717088789739,,2.0,3.5,Low Stress,-2.312151962071366,Or4f56,4
276,Olfr1306,-7.916577734861918,-3.236266871833423,,2.0,4,Low Stress,-4.665555910144958,Or4f14,4
277,Olfr1307,-7.188472233002906,-4.193732426548635,uOR,2.0,4,Low Stress,-0.1461971880795838,Or4f14b,4
278,Olfr1308,-3.1407360087093315,1.223232889336317,uOR,2.0,3.5,Low Stress,-1.761365064427252,Or4f57,4
279,Olfr1309,-7.188472233002906,-4.193732426548635,uOR,2.0,4.5,Low Stress,-3.0356941031681246,Or4f15,4
280,Olfr131,-0.2718312217155439,0.910019337625395,oOR,3.0,2,High Stress,0.1930952905281429,Or2y3,2
281,Olfr1310,3.855488433394801,5.845224799485962,,2.0,4,Low Stress,-0.5305064278997579,Or4f6,4
282,Olfr1311,-4.145182118369767,-3.111011825904908,uOR,2.0,3.5,Low Stress,-1.5913786127964369,Or4f58,4
283,Olfr1312,-9.72441316873822,-0.1266691755845908,uOR,2.0,4,Low Stress,-2.0046615964387304,Or4f59,4
284,Olfr1313,0.7650472425395297,4.6208044428996535,uOR,2.0,3.5,Low Stress,-0.5209025448920136,Or4f60,4
285,Olfr1314,-9.202631047444168,-0.2382297592492909,,2.0,,High Stress,0.4418054047294652,Or4f61,4
286,Olfr1315-ps1,-0.940508364739441,-4.806605694516832,,2.0,,Low Stress,-0.7625853960477899,,
287,Olfr1316,-0.7058199973148027,-5.268062164898407,uOR,2.0,4,Low Stress,-1.8398147653537773,Or4f14d,4
288,Olfr1317,0.881659648115533,-1.1767386809716682,,2.0,3.5,Low Stress,-2.537946469048023,Or4f47,4
289,Olfr1318,-0.9136353839332044,-2.434460340217302,oOR,2.0,3,Low Stress,-0.1953361756550101,Or4f62,4
290,Olfr132,4.631779563596833,-5.825654902368355,uOR,3.0,3,Low Stress,-0.3154774579432265,Or2h15,2
291,Olfr1320,4.004746501734596,0.8800832505299848,uOR,3.0,2.5,High Stress,3.5577226948648697,Or11q2,11
292,Olfr1321,-2.7112473598321603,1.0059398040029437,uOR,3.0,4.5,Low Stress,-0.0320734616555456,Or5o1,5
293,Olfr1322,9.069238298020636,2.95347431548738,uOR,3.0,4,Low Stress,-1.138878775724743,Or11n2,11
294,Olfr1323,3.100221821088796,-10.339272484818004,uOR,5.0,4,Low Stress,-0.6962409631447409,Or5bh3,5
295,Olfr1324,-1.3995222317531748,-0.0629806508230645,uOR,6.0,2.5,High Stress,2.0195779766201407,Or1aa2,1
296,Olfr1325,-0.7647756599162857,-0.3312533527971271,uOR,3.0,2.5,Low Stress,-2.200395811735165,Or13ae2,13
297,Olfr1326-ps1,5.365063345250968,3.3382118093024915,,3.0,,Low Stress,-2.7179484819892408,,
298,Olfr1328,-0.2399797744677791,-0.042842778615435,oOR,3.0,1,High Stress,0.7982989657849536,Or10ak7,10
299,Olfr1329,0.4136395341352021,-0.9638737287854168,,3.0,1,High Stress,2.3026942222733258,Or10ak8,10
300,Olfr133,-9.016636998558766,0.8261723957999519,uOR,,,,,Or2n1b,2
301,Olfr1330,-1.7582516892886686,2.719202781435511,uOR,3.0,2,High Stress,0.0610953175673306,Or10ak16,10
302,Olfr1331,-9.727473142945334,2.822935172600382,uOR,3.0,2,High Stress,2.3733749451131776,Or10ak9,10
303,Olfr1333,-7.687986467511589,-1.761260066993142,,3.0,1.5,High Stress,2.354849268256036,Or10ak11,10
304,Olfr1334-ps1,-8.575464492155856,0.6297635448198972,,,,,,,
305,Olfr1335,-8.575464492155856,0.6297635448198972,,3.0,,High Stress,0.6985780657021186,Or10ak12,10
306,Olfr1336,0.6816129189440402,-5.625297658963188,oOR,3.0,4,Low Stress,-0.6991084553391396,Or6z3,6
307,Olfr1337,-10.213454070317082,1.193127850376307,,3.0,,High Stress,5.432620832656137,Or10ak13,10
308,Olfr1338,3.2650450940009774,3.09916626890146,,3.0,,High Stress,2.197826409185762,Or10ak14,10
309,Olfr1339,-8.340093360410528,-3.4494244377552143,uOR,3.0,1,High Stress,0.4271533581622845,Or13p5,13
310,Olfr134,-0.7175571264464577,-9.1244542307653,oOR,3.0,1,High Stress,2.722015557733032,Or2n1,2
311,Olfr1340,7.154683544423623,-7.821897077251584,uOR,3.0,1,High Stress,0.7817442470351841,Or13p8,13
312,Olfr1341,-4.817319444850046,-2.753078965175536,uOR,3.0,2,Low Stress,-0.2048753943777697,Or13p3,13
313,Olfr1342,6.016190538547402,-3.8966349207672897,uOR,3.0,2.5,Low Stress,-0.3281463789663933,Or13p4,13
314,Olfr1344,-0.7235647729490859,3.772854883843865,uOR,3.0,2,Low Stress,-0.81499106732072,Or2bd2,2
315,Olfr1346,5.740422990588423,-5.845105351244062,oOR,3.0,5,Low Stress,-1.1783406122825038,Or6z5,6
316,Olfr1347,3.1215503022112405,-9.343556428228338,oOR,3.0,4,Low Stress,-2.72987779531132,Or6z6,6
317,Olfr1348,2.904158979411725,-9.382418529338086,oOR,3.0,4,Low Stress,-2.0040070443249096,Or6z1,6
318,Olfr1349,2.509746841094722,3.669430938521432,uOR,3.0,3.5,Low Stress,-0.9105598973595844,Or10am5,10
319,Olfr135,-1.7369265988560971,-8.755868176265174,uOR,3.0,2,High Stress,3.3559498298269976,Or2n1c,2
320,Olfr1350,2.552574889206477,4.528441014664415,uOR,3.0,2,High Stress,0.7308263789161894,Or5bw2,5
321,Olfr1351,-3.271222415321834,0.9940768988915129,,6.0,1.5,High Stress,2.5817237947804155,Or7a35,7
322,Olfr1352,-2.544980520837829,1.1255339209610091,uOR,6.0,2.5,High Stress,0.5853554458640683,Or7a36,7
323,Olfr1353,-5.808701831937288,0.8153193295338319,,6.0,3,High Stress,2.196564213256398,Or7a37,7
324,Olfr1354,-8.441326556217854,-1.954424069949929,uOR,6.0,3,High Stress,2.0870170667847847,Or7a38,7
325,Olfr1355,-3.4788638360727053,-0.1445387973774032,,6.0,3,High Stress,4.264905276583533,Or7a39,7
326,Olfr1356,9.906083068572686,1.723464491999051,uOR,6.0,1.5,High Stress,0.1735675271296441,Or7c70,7
327,Olfr1357,-7.073743878513201,-2.052041636793092,oOR,6.0,1,High Stress,1.5237793727759428,Or1i2,1
328,Olfr1358,-1.527160349682534,7.044873479270188,,3.0,,High Stress,0.272685287464151,Or10b1,10
329,Olfr1359,4.468449444926378,-5.9790060358329535,oOR,3.0,,Low Stress,-3.901198830988896,Or2b2,2
330,Olfr136,-7.255103241859739,4.145824709853616,uOR,3.0,2,High Stress,0.3673291203984444,Or2n1d,2
331,Olfr1360,4.468449444926378,-5.9790060358329535,,3.0,4,Low Stress,-4.205219717540305,Or2b2b,2
332,Olfr1361,7.4795883874098275,-7.402097393384952,uOR,3.0,1,High Stress,0.6495328485046477,Or2w6,2
333,Olfr1362,7.85919324181134,3.924805562874453,oOR,3.0,1,Low Stress,-1.912975615055286,Or2w4,2
334,Olfr1364,2.4492441504253617,-5.735927688642499,uOR,3.0,4,Low Stress,-2.698440917927284,Or2w2,2
335,Olfr1365,1.9644759430589505,-4.767230775436617,,,,,,,
336,Olfr1366,-9.180729287465146,0.6543540076032295,uOR,6.0,1,High Stress,1.5098883800308742,Or1f12,1
337,Olfr1367,3.424368248319797,-6.706538821532627,,3.0,,High Stress,0.2464644176435101,Or2b28,2
338,Olfr1368,2.684211184901705,-1.7544530326362244,uOR,3.0,4,Low Stress,-2.7995431516662,Or2ad1,2
339,Olfr1369-ps1,3.5922602310048704,-3.006133675166491,,3.0,,Low Stress,-1.1492466588413912,,
340,Olfr137,2.924891365105548,-9.705515279338972,,3.0,2,Low Stress,-1.950784652939716,Or2j3,2
341,Olfr1370,4.129159009125729,-11.177037214117368,oOR,3.0,2,High Stress,0.8968909873429524,Or2p2,2
342,Olfr1371,2.31368297263894,-8.080528934168779,,3.0,4,Low Stress,-0.4492511546207922,Or2y6,2
343,Olfr1373,-1.1899689068787522,-3.638751244503089,,3.0,,High Stress,0.2714413520760791,Or2y8,2
344,Olfr1375,-2.3202604293417326,8.205809652245312,,6.0,,High Stress,0.4462862231045395,Or1x6,1
345,Olfr1375-ps1,-2.3202604293417326,8.205809652245312,,,,,,,
346,Olfr1377,-4.528398492012982,3.439888677997601,,6.0,1,High Stress,1.4466068741578462,Or1ad1,1
347,Olfr1378,-6.68605572601298,-0.6004629180289986,,6.0,2,High Stress,1.6882813011773978,Or1ad6,1
348,Olfr138,-6.00034331762643,3.642632372053384,uOR,3.0,3.5,High Stress,0.6279682039695799,Or2n1e,2
349,Olfr1380,1.8858804560312208,-4.065840633597582,uOR,3.0,3.5,Low Stress,-0.3533663576333415,Or2y10,2
350,Olfr1381,-0.0268073560373429,-5.382261092861265,oOR,3.0,3.5,Low Stress,-0.3936743915535948,Or2y11,2
351,Olfr1382,-0.7042387269434852,-6.041538185203272,oOR,3.0,4,Low Stress,-0.7019212912082898,Or2y12,2
352,Olfr1383,7.5279152457156275,-1.3498902168015392,,3.0,3.5,Low Stress,-1.834318637525652,Or2y13,2
353,Olfr1384,5.64174564466176,1.944386292621372,uOR,3.0,4,High Stress,1.010013976876177,Or2y14,2
354,Olfr1385,1.2687425061040984,-2.0978675363086845,,3.0,3,Low Stress,-0.2574790568404898,Or2y1,2
355,Olfr1386,6.202482408794883,-7.886246970223502,oOR,3.0,2.5,Low Stress,-0.8117877321232888,Or2y1c,2
356,Olfr1387,1.9930803086473607,-3.665051863217676,oOR,3.0,2.5,Low Stress,-0.2150260439447641,Or2y15,2
357,Olfr1388,-1.124450627798108,-7.870025761483094,oOR,3.0,2,Low Stress,-0.1073877254126978,Or2y16,2
358,Olfr1389,8.310351594648003,-4.313545698722792,uOR,3.0,1,Low Stress,-0.7242283154702122,Or2y1d,2
359,Olfr139,8.001908175661162,-10.31654036469978,uOR,3.0,1,High Stress,1.1277052244768797,Or3a10,3
360,Olfr1390,-9.550492810508748,1.7075922441288351,oOR,3.0,,Low Stress,-2.176748663020125,Or2y17,2
361,Olfr1391,2.725073082653567,-3.1595953385301083,oOR,3.0,3.5,Low Stress,-1.8189412078113367,Or2y1e,2
362,Olfr1392,6.065365453171788,-5.69888728841782,uOR,3.0,3.5,Low Stress,-1.6114818773152295,Or2y1f,2
363,Olfr1393,4.903245109019898,-10.099729444102058,uOR,3.0,3.5,Low Stress,-2.128229144803293,Or2y1g,2
364,Olfr1394,7.687116494195936,-4.575531761588087,,3.0,2,High Stress,1.2268790747502258,Or2o1,2
365,Olfr1395,-0.9444040160588528,-9.954530783523314,oOR,3.0,2,High Stress,0.5915290322277402,Or2t26,2
366,Olfr1396,-0.6542320850468177,2.7797450631255542,oOR,3.0,2.5,High Stress,1.059020898674965,Or2v2,2
367,Olfr140,-4.063178327574387,8.18207287044148,,2.0,4,Low Stress,-2.7069166779180924,Or4c3d,4
368,Olfr1402,-0.4478052252135797,-0.0289976229650189,,3.0,3,Low Stress,-0.0315263885857953,Or13l2,13
369,Olfr1404,5.7286118477369,-0.0679935679215065,oOR,3.0,1,Low Stress,-0.7553743981220126,Or10j3b,10
370,Olfr1406,-1.8848062067590687,-2.206037214128943,uOR,3.0,1,High Stress,1.4057487395438288,Or10j7,10
371,Olfr1408,-0.0561991740266846,-0.8870764058791487,uOR,3.0,1,High Stress,1.779649208954364,Or10j27,10
372,Olfr141,-1.5467992525515024,4.972952285647681,uOR,5.0,1,High Stress,1.4878677573456331,Or5t18,5
373,Olfr1410,3.959414265871836,-10.49624813802289,uOR,5.0,3,Low Stress,-1.915880763459154,Or9s14,9
374,Olfr1411,3.959414265871836,-10.49624813802289,,5.0,3.5,Low Stress,-1.8997461677419631,Or9s15,9
375,Olfr1412,8.023216327085104,-9.703903010833317,uOR,5.0,3.5,High Stress,1.0929821200735477,Or9s27,9
376,Olfr1413,10.709605418502708,-8.783520077588392,,5.0,3.5,High Stress,1.3044367871776472,Or9s23,9
377,Olfr1414,-4.170153950217324,-6.980039479738628,uOR,3.0,4,Low Stress,-1.6688013471091372,Or6b3,6
378,Olfr1415,6.16748428219972,4.783577591230976,,3.0,4,Low Stress,-5.020638160177612,Or6b2b,6
379,Olfr1416,6.259485968811947,6.110683036538637,oOR,3.0,4,Low Stress,-0.8041266880259632,Or6b2,6
380,Olfr1417,0.5140840564901925,10.72639540539424,uOR,3.0,4,Low Stress,-1.2978294021042531,Or10v5,10
381,Olfr1418,1.1894305840678745,11.211078806658112,,3.0,3.5,Low Stress,-0.4844866960875664,Or10v9,10
382,Olfr1419,7.47593790168427,-3.420770071695835,uOR,3.0,3.5,High Stress,0.1419770100750917,Or10q3,10
383,Olfr142,-2.029772441690007,2.8428734535586355,uOR,2.0,2,High Stress,2.0806397120130806,Or4b13,4
384,Olfr1420,-0.2967512255247711,6.116146347833211,,3.0,3.5,Low Stress,-0.5080972126195833,Or10v1,10
385,Olfr1423,3.079480779712269,-2.8021366462708395,,2.0,3.5,Low Stress,-0.5106552977347618,Or4d11,4
386,Olfr1424,1.5648036284738676,4.835069253135644,uOR,2.0,3.5,Low Stress,-0.4367844122631807,Or4d10b,4
387,Olfr1425,0.988010882497653,1.6783390260517737,oOR,2.0,3.5,Low Stress,-0.7942549275174005,Or4d10,4
388,Olfr1426,-4.414751664976631,-0.8220570174356491,uOR,2.0,3.5,Low Stress,-0.5780907594328467,Or4d10c,4
389,Olfr1427,3.079480779712269,-2.8021366462708395,uOR,2.0,3.5,Low Stress,-2.2283122906688204,Or4z4,4
390,Olfr1428,-0.6260500536584322,2.8615442018960904,uOR,2.0,3,Low Stress,-0.2794597327663093,Or4d6,4
391,Olfr143,-7.03709282759805,2.1104850639072352,oOR,4.0,1,High Stress,0.4965666597447126,Or8c8,8
392,Olfr1431,4.616999176705777,1.8586632739922484,uOR,5.0,2.5,High Stress,0.9729130391439672,Or5an9,5
393,Olfr1432,5.632422606523917,-4.459941998250374,,5.0,,High Stress,4.157590902450321,,
394,Olfr1433,-1.987280868390616,3.4021306116927987,,,,,,,
395,Olfr1434,-1.987280868390616,3.4021306116927987,,5.0,,High Stress,2.395475142593189,,
396,Olfr1436,8.17423839781017,9.638028483346968,,5.0,2,High Stress,2.349024493343597,Or5an10,5
397,Olfr1437,2.8303894617900136,5.186840181949819,uOR,5.0,2,High Stress,2.517468188822856,Or5an1b,5
398,Olfr1438-ps1,7.189411715105797,-4.891187929915571,,5.0,,High Stress,0.4868593085286791,,
399,Olfr144,5.353322510714894,8.58722826609476,uOR,,,,,,
400,Olfr1440,1.0314318808151683,3.8337545794769214,uOR,5.0,2.5,High Stress,0.7308270719648289,Or5an6,5
401,Olfr1441,-0.3933801571694607,-0.6646782247417895,,5.0,,High Stress,0.0690098078975991,Or5a3,5
402,Olfr1442,9.164741634055712,4.388306304781217,oOR,5.0,4,High Stress,0.0957450973275777,Or5b94,5
403,Olfr1443,11.441769309232544,4.633141873086657,uOR,5.0,4.5,Low Stress,-2.4877539886004274,Or5b95,5
404,Olfr1444,5.48116517941513,10.286476708770476,uOR,5.0,1,High Stress,2.6227477425442047,Or5b21,5
405,Olfr1445,0.8441367136814274,4.111028011960745,,5.0,1,High Stress,4.679297623807401,Or5b12b,5
406,Olfr1446,9.765385772381826,4.180796863999694,uOR,5.0,2,High Stress,3.313675406998289,Or5b96,5
407,Olfr1447,-1.3301613031472892,8.357710180080707,uOR,5.0,2,High Stress,4.195658633336416,Or5b97,5
408,Olfr1448,9.990959857547578,4.356529152704088,oOR,5.0,1,High Stress,0.7287344675012984,Or5b12,5
409,Olfr1449,6.938456302313765,8.074290224081116,,5.0,1,High Stress,3.687161950591564,Or5b24,5
410,Olfr145,-5.342183622833442,2.2167546272438683,oOR,4.0,1,High Stress,1.322569611169777,Or8b8,8
411,Olfr1450,-3.623484376867829,3.079575509758261,,5.0,2,High Stress,4.691071645351411,Or5b98,5
412,Olfr1451,-2.393822867834392,4.024261556025738,uOR,5.0,1.5,High Stress,5.720695340314328,Or5b99,5
413,Olfr1453,8.899681920367303,10.570722709800071,,5.0,,High Stress,2.0432890117647,Or5b101,5
414,Olfr1454,13.214192074117262,-3.7557720576638345,uOR,5.0,2.5,High Stress,2.463984350728885,Or5b102,5
415,Olfr1457,2.1939274707739607,9.008762891672784,,,,,,Or5b104,5
416,Olfr1458,3.926344992029124,5.299375185418263,,5.0,,High Stress,0.8500501036251381,,
417,Olfr1459,-2.6160020989177286,8.197136002956164,,5.0,2,High Stress,1.4976085607183836,Or5b106,5
418,Olfr146,-0.1275377476451031,10.033504213400924,uOR,4.0,1,High Stress,4.890978719204516,Or8g17,8
419,Olfr1461,7.433084895305566,-7.558072142628749,uOR,5.0,2.5,High Stress,1.913755929777552,Or5b107,5
420,Olfr1462,10.385491652742388,-2.143592620537522,,5.0,,High Stress,3.719599365119205,Or5b108,5
421,Olfr1463,13.38313996581452,2.00915620790644,uOR,5.0,3,High Stress,1.956571740679548,Or5b109,5
422,Olfr1465,8.899681920367303,10.570722709800071,,5.0,,High Stress,4.573026348450631,Or5b111,5
423,Olfr1466,9.3458880730088,-1.7960537696714618,oOR,5.0,2,High Stress,3.4593844137787126,Or5b112,5
424,Olfr1467,-1.2679509161108355,9.635295531857086,uOR,5.0,1,High Stress,1.6132876898115045,Or5b113,5
425,Olfr1469,-4.187647274759332,0.7311377478882453,,5.0,2,High Stress,1.898778179255976,Or5b3,5
426,Olfr147,2.8473285501897614,-11.166005575028471,uOR,4.0,1,High Stress,1.9821904901233345,Or8b3,8
427,Olfr1471,12.9257545148414,1.29325888004932,uOR,5.0,,High Stress,1.5561758752155992,Or5b116,5
428,Olfr1472,12.175995377726636,-6.803976402332787,uOR,5.0,2,High Stress,4.212182618109837,Or5b117,5
429,Olfr1474,2.03665209497671,0.8345618133433748,,5.0,2,High Stress,2.636879771061339,Or5b118,5
430,Olfr1475,3.244202840782526,5.06001573713847,oOR,5.0,,High Stress,2.3597260648137173,Or5b119,5
431,Olfr1477,12.175995377726636,-6.803976402332787,uOR,5.0,3,High Stress,3.446466438389024,Or5b120,5
432,Olfr148,-2.775401089744925,-6.583665641127128,uOR,3.0,1,High Stress,0.0118511288258056,Or10n1,10
433,Olfr1480,-1.5019892045362944,0.3317281826361623,,5.0,3.5,Low Stress,-0.264618111966077,Or5b121,5
434,Olfr1484,-4.604947395455004,-0.2751137476209496,uOR,5.0,3,High Stress,0.4599675067099739,Or5b122,5
435,Olfr1487,-2.946308296276778,-1.747049386619972,uOR,5.0,2,High Stress,0.8858877519540505,Or5b123,5
436,Olfr1489,12.085001689194169,-0.1657944568572159,,5.0,3,High Stress,0.9054013915108472,Or5b124,5
437,Olfr149,-4.341223022882934,-6.569671693746755,uOR,3.0,1,High Stress,0.0813011237450883,Or10d1b,10
438,Olfr1490,-3.743890482417224,4.377968007591322,uOR,3.0,2.5,High Stress,0.8319414956095533,Or10w1,10
439,Olfr1491,-0.4421682694664559,0.1150717697246541,uOR,3.0,2.5,High Stress,0.7910670202037612,Or10q1b,10
440,Olfr1493-ps1,-2.729244784942567,4.7993284588957605,,3.0,,Low Stress,-0.3665103840156113,,
441,Olfr1494,-0.4421682694664559,0.1150717697246541,uOR,3.0,3,Low Stress,-4.091216744683051,Or10q1,10
442,Olfr1495,3.086297091306865,6.097361485312854,uOR,3.0,1,High Stress,3.200011175191268,Or10q12,10
443,Olfr1496,-3.140507833429623,2.020931288769746,,6.0,1,High Stress,1.8702193849269149,Or1s2,1
444,Olfr1497,5.228320221903907,5.250447948390274,uOR,5.0,1,High Stress,0.0855442710063197,Or9q2,9
445,Olfr1499,6.419582638713105,0.6515456609413496,,5.0,1,High Stress,0.2060710566682207,Or9i14,9
446,Olfr15,1.0701934715524912,0.2269019209689897,oOR,3.0,3,Low Stress,-1.846427106721781,Or2c1,2
447,Olfr150,-11.64374963358188,-0.6144378022486309,uOR,4.0,1,High Stress,1.8909399632871355,Or8g50,8
448,Olfr1500,1.838237365844712,-3.944031740430084,uOR,5.0,1,High Stress,0.2987093360233653,Or9q1,9
449,Olfr1501,6.113969770815307,3.2415829413316017,,5.0,2,High Stress,0.5609514650335972,Or9i2,9
450,Olfr1502,6.61733674533029,1.712202888132446,,5.0,,High Stress,2.311146538129196,Or9i1,9
451,Olfr1504,8.843773332913555,6.987191120663294,,5.0,2.5,Low Stress,-0.2874897691887945,Or9i16,9
452,Olfr1505,5.864497685904951,4.23216368415191,oOR,5.0,1.5,High Stress,0.7434150577744495,Or9i1b,9
453,Olfr1506,-2.150985665668282,-4.970432417688846,,2.0,2,Low Stress,-1.019197550304228,Or4x15,4
454,Olfr1507,-0.8112050351960377,-0.7317568707457278,oOR,2.0,5,High Stress,0.6482658280223568,Or4e5,4
455,Olfr1508,1.7752706557633142,-6.826350546804408,oOR,2.0,5,Low Stress,-1.7730302077305835,Or4e1,4
456,Olfr1509,-5.283815853079118,-2.8374540646502755,oOR,2.0,5,Low Stress,-2.409260312333488,Or4e2,4
457,Olfr151,-7.819762746998742,4.691416033580386,,,,,,Or8a1,8
458,Olfr1510,0.6329432087463184,-4.57914505260368,uOR,3.0,1,High Stress,0.972436851571246,Or10g1,10
459,Olfr1511,2.039817729266154,-6.024407725570642,uOR,3.0,1,High Stress,0.1943167724986939,Or10g1b,10
460,Olfr1512,4.322388042919681,-0.9897404947288316,,3.0,1,High Stress,0.7224913337905785,Or10g3,10
461,Olfr1513,5.225106242860063,-4.119179393505851,uOR,3.0,1,High Stress,1.157811449462863,Or10g3b,10
462,Olfr1514,6.454069255347022,-5.489706627961971,,,,,,,
463,Olfr152,5.133927654487898,3.199027242875886,oOR,5.0,1,Low Stress,-0.050226507413267,Or5i1,5
464,Olfr153,-8.778846074618,-2.769318014622152,,5.0,1,High Stress,3.4325467503781493,Or5w22,5
465,Olfr1532,3.361211195745782,-8.529012931942573,,,,,,,
466,Olfr1532-ps1,3.361211195745782,-8.529012931942573,,3.0,2.5,Low Stress,-0.5876164075233393,,
467,Olfr1534-ps1,14.980643536558052,2.450366858330695,,,,,,,
468,Olfr1535,1.9644759430589505,-4.767230775436617,oOR,3.0,3.5,Low Stress,-0.846391328952288,Or2b7,2
469,Olfr1537,5.353322510714894,8.58722826609476,,4.0,,High Stress,5.194143560034799,Or8g18,8
470,Olfr154,1.4925518106342517,13.122419355832497,,5.0,1.5,High Stress,3.0678331150318616,Or5g26,5
471,Olfr155,2.13434710017572,2.456178975772044,uOR,3.0,,High Stress,1.33323973958566,Or13c7,13
472,Olfr1555-ps1,-2.5175171015400384,-0.5320415284669245,,5.0,,High Stress,3.667757942784673,,
473,Olfr156,4.600592398611352,2.863478018396392,uOR,3.0,,Low Stress,-0.2301079546343802,Or13c7b,13
474,Olfr1564,4.775769764678437,-1.6331333744562542,,3.0,,Low Stress,-1.5406747154179203,Olfr1564,None
475,Olfr1565,-2.150985665668282,-4.970432417688846,,,,,,,
476,Olfr157,4.600592398611352,2.863478018396392,oOR,3.0,,High Stress,0.9021410768424536,Or13c7c,13
477,Olfr159,2.9648771885306204,2.583454798786029,,3.0,,High Stress,3.131975375701074,Or13c7d,13
478,Olfr16,3.426866121133105,-2.508647580009573,oOR,3.0,1,High Stress,0.7399483137514568,Or10j5,10
479,Olfr160,-6.952948655341826,-4.623911480471973,,4.0,,High Stress,2.0868755989549053,Or8a1b,8
480,Olfr161,8.461951066546359,4.550438783963612,oOR,6.0,1.5,High Stress,1.3530947800926558,Or1f19,1
481,Olfr164,7.969817858141426,-4.370253741492428,,3.0,2,High Stress,2.07542327685749,Or2m12,2
482,Olfr165,-1.325226061464558,6.431292057211689,,3.0,2.5,High Stress,0.2293464766010915,Or2m13,2
483,Olfr166,-2.403774462957401,1.8293255278694465,oOR,3.0,4,Low Stress,-1.925606030941362,Or2l13,2
484,Olfr167,-0.623856599689583,0.4161511612307951,uOR,3.0,4,Low Stress,-2.494778969325986,Or2l5,2
485,Olfr168,-3.697958914759746,0.0714494773355419,oOR,3.0,4,Low Stress,-0.6791434475321659,Or2l13b,2
