,PCA_1,PCA_2
Or1E16,-2.5022225,-2.3503306
Or4C15,3.0448594,-0.9169996
Or2Y16,2.533475,-0.76241815
Or5Aq6,2.4488432,-0.17804772
Or6C3B,-0.80028033,-0.9929626
Or5B108,0.8182206,1.5398118
Or8C20,0.12540409,0.20023882
Or9G20,0.21942492,0.9879867
Or4F7,-0.8369245,0.25010937
Or8U8,-1.3722938,0.94631493
Or2Aj6,2.1708155,0.12302946
Or4C111,1.9891623,-1.0243945
Or8K35,-2.1188033,-1.8957591
Or2B2B,2.5608797,0.63884896
Or13C25,-0.2415454,2.2624943
Or2Bd2,0.55996495,1.649585
Or8B9,2.362885,-0.23648371
Or11H7,1.1510966,-0.87799144
Or13C3,-0.55112654,2.7794538
Or5P4,2.7494543,-0.18549633
Or51I1,-2.310601,1.2409914
Or51K1,-1.1027772,0.46300206
Or2C1,1.8075243,1.5307028
Or4M1,1.2721126,-1.0676081
Or4C101,1.9599907,-1.2207694
Or4A75,2.1936324,-1.2220341
Or5Ac21,-0.79887885,1.386017
Or51A7,-1.80792,0.5853847
Or4X6,2.341612,-0.85368395
Or7D10,-2.6707497,0.4102443
Or8D2,1.3737072,-1.9997786
Or52Ae7,-3.9667196,-0.11821416
Or5T18,-0.6279609,0.90664786
Or10Ak11,0.98054,-1.2935024
Or8K24,0.043034386,-0.55732137
Or5W14,1.9323652,-1.1364493
Or5An1B,-0.93400836,1.1808625
Or2W6,0.8456598,2.4264302
Or5P64,0.6181809,2.6051872
Or52E8,-3.9887977,1.1196411
Or10Q1B,1.1910334,1.0370859
Or4L15,2.0959165,-0.7287107
Or6C66,-3.7048273,-1.9616604
Or8D1,-0.44652075,-1.866956
Or2D36,-0.0012080531,0.23288232
Or4F14B,-0.58930767,-0.44564706
Or11H4B,3.0902846,0.21702223
Or7E176,-2.8782754,0.80269945
Or2I1,1.0941855,0.59304255
Or5Bw2,0.6572385,2.200497
Or2Ag18,0.65244937,-1.3976414
Or6C205,-0.20472185,-2.1144142
Or6N2,2.9054446,1.2990366
Or52A33,-2.3644238,2.041175
Or2A57,-1.2335947,-1.6530807
Or2P2,1.614851,-0.24728417
Or2W25,-2.3089046,2.5510325
Or4C115,1.3094355,-1.7214727
Or12J4,-1.6353968,-1.9937142
Or5P63,-1.9784421,1.9654967
Or1N2,-1.404687,1.9331154
Or5P1,2.062605,1.288397
Or14C41,1.7806921,-1.8206567
Or13C7,-0.08450638,3.5921135
Or4K77,-1.3033202,-1.2602924
Or10Ak14,2.4140983,1.587861
Or10Al7,0.3744255,0.83058476
Or4C3D,1.1495659,-0.2072565
Or9E1,0.33732384,1.247844
Or4C12B,2.4357736,-0.029083457
Or8B51,2.6549954,0.26447082
Or5B109,-1.3150516,3.0866811
Or52W1,-3.822816,1.1202265
Or4K45,1.3345852,-1.6467063
Or1A1B,0.3159155,0.44860545
Or8K3B,0.80916667,0.04958572
Or52Z1,-2.9403822,0.5081813
Or13P8,2.769288,0.48675123
Or8K38,-1.6948187,-1.671882
Or11G25,0.5519502,-0.37286568
Or8B1B,2.3180156,-0.8634689
Or2Ak4,2.8019297,1.4591744
Or4C124,2.710714,0.16765285
Or2L5,1.6787553,0.36714768
Or8C16,-0.79177785,-2.0797212
Or9K2,1.0477397,1.5116495
Or2A7,-2.859616,-2.7098057
Or13A18,-0.24358013,2.5192323
Or13F5,2.2467716,1.1681769
Or51I2,-1.8644003,2.5074916
Or7A35,-4.0451565,-0.4046141
Or10Ac1,1.4738781,0.30606937
Or2Z2,2.0325165,-0.09144732
Or9G8,-0.28461802,2.0322015
Or5W8,1.6568571,-1.1134652
Or12E8,0.06393828,-2.0603042
Or52H1,-2.9982822,0.1608849
Or2A51,-0.7480437,-2.132013
Or11G7,0.68808776,-0.8508439
Or5B118,-1.6953464,0.5117882
Or2F2,-0.65227777,0.6381197
Or8G4,1.032076,-2.4392264
Or52E19B,-3.7935889,1.0995907
Or6S1,1.2179075,0.42763188
Or4C103,2.5474384,-0.2838943
Or2F1,-1.1165367,-1.7085322
Or5M9B,-2.7407475,-1.2544767
Or8G32,-3.5501842,-0.45009264
Or5B106,-2.6839807,0.5883827
Or5Ak25,0.73123133,0.9656024
Or8S5,-0.9629897,0.06598794
Or51A24,-2.5256968,0.30253455
Or1E32,-0.6702435,1.182846
Or4D2,2.102667,-2.11437
Or10X4,2.2020826,0.77722234
Or14C44,2.2804358,-1.5236177
Or4A73,2.5780783,-1.0488645
Or51E1,0.5670615,-0.09363171
Or1E31,-0.9147189,2.3449392
Or8B53,2.198868,-0.16386251
Or4B1D,1.3066403,-1.038829
Or5Ar1,1.3741605,0.7899883
Or2A20,-1.5151361,-1.3755238
Or10D1C,-1.1708117,-1.3788903
Or10C1,0.6950646,2.247782
Or9M1B,-0.42692798,0.95679665
Or4F52,-0.38514203,-1.7541349
Or1A1,-0.4704113,-1.8524332
Or10A49,-0.2635983,2.738113
Or4D1,0.6111714,-1.7114489
Or8J3B,1.858997,0.18101358
Or2Y11,2.8477979,0.086262345
Or10K2,1.3282276,1.4270003
Or2T29,1.6532943,-2.0340426
Or7G21,-3.3714437,-0.13116981
Or4K38,1.7899888,-1.1082598
Or5B107,0.4314905,2.430101
Or6C203,-2.935254,0.93863064
Or10Ag54,2.1819203,1.6193359
Or8D23,0.35510334,-1.9326326
Or10G9B,-1.2572846,0.020036263
Or4C105,2.6530268,-1.647285
Or10Z1,1.6638879,1.505497
Or4C100,2.4534593,0.06768185
Or4K51,2.5043628,-0.6633223
Or8G34,-2.0302315,-0.6054294
Or10Q3,1.6598762,1.8924305
Or5Al5,-1.3063995,1.0296116
Or8J3C,0.98492974,-0.1229647
Or12D12,-1.1404617,0.5408775
Or5B12,-0.12644677,1.0408027
Or4C110,0.14914913,-0.29853177
Or2R2,-1.3680903,0.6837217
Or9S15,2.236528,0.484518
Or11G26,0.39808437,-0.86480165
Or1E26,-2.2647865,2.0130796
Or8B44,2.086918,-0.80482477
Or2W3B,-1.1988032,-2.3374064
Or9R7,1.4047816,1.5560316
Or8K20,-0.768061,-1.8883325
Or2Z9,1.1086777,2.3149896
Or4C104,2.5612953,0.001696156
Or2H2,1.9997476,-0.17639408
Or4A71,2.1916535,-1.2226082
Or1R1,0.90955925,-2.148034
Or5An6,1.1869465,0.74407935
Or6C211,-2.9862351,-1.7078464
Or10G7,-2.21875,0.89001465
Or13C7D,-0.46845138,3.7926743
Or4C109,0.9578007,-1.0324498
Or5D43,-1.2664124,-0.67208123
Or10J3B,2.3655396,0.881454
Or8B35,1.293062,-1.6739485
Or6C76,-1.6153896,-1.7399439
Or5P66,0.68569714,2.1873026
Or4C102,2.83841,-0.88010013
Or4P21,0.621112,-0.5769544
Or5Ak24,1.8868458,0.9364961
Or2Y13,2.4734778,1.5695956
Or2R3,-1.0635593,0.833232
Or8B8,-0.17504181,-1.7631904
Or5I1,1.8986274,-0.07706864
Or5B104,-1.7436044,1.8005569
Or4C114,0.35338628,-0.5528266
Or2H1B,1.20369,-1.8684899
Or7G19,1.2914338,-0.87023443
Or8K33,-2.330878,-2.185514
Or2Ag2,-0.77836424,-1.1929736
Or5L14,0.8869732,0.23738693
Or5O1,-0.32276785,-0.74164534
Or52N3,-4.2621217,-0.285236
Or52R1C,1.143006,1.5594956
Or6C207,-2.1127796,-1.2336009
Or2B6,1.0132638,-1.4862461
Or2T46,2.3883986,-1.8182772
Or8G54,1.6308419,-1.7543614
Or10Aa3,1.9974293,-1.8584632
Or13A21,-1.9216012,-1.5105946
Or4K48,0.83211684,-0.28301707
Or1J21,-2.473611,0.074959226
Or10Ak16,1.2565659,-0.532225
Or13A25,-0.55237794,-1.1529317
Or5T15,0.10615957,0.8324959
Or55B10,-2.466127,0.1466729
Or10Ag57,2.0671268,1.2210795
Or6C88,-2.5204854,0.02342862
Or52N4,-3.7757533,1.6217111
Or7G35,-1.8482528,1.1064504
Or5H18,-2.3735862,-2.530593
Or8B50,2.0318463,-1.22035
Or8H7,1.2584022,-1.3899729
Or5E1,-2.4232655,-0.996359
Or8G50,-0.6518082,-2.8003268
Or10S1,-0.45769635,1.9596916
Or1E33,-2.4834182,0.4744744
Or11I1,-1.9591668,-0.5332782
Or56A4,-2.6471999,1.6514035
Or5Ak4,-1.2288127,1.9426612
Or8G18,-0.8019051,0.6636614
Or4C10B,2.942062,-0.93831366
Or2Ag2B,-0.11573843,-0.376811
Or6K6,0.5836479,-0.15556729
Or5Aq1B,2.0067005,0.42169508
Or51Ac3,-2.9248345,0.44449311
Or1N1,-0.62166923,0.64346635
Or52A20,-2.9291902,-1.5594107
Or4D5,1.7391497,-2.2344062
Or13A20,-0.6648089,2.4724302
Or8C15,-0.7913073,-3.2842736
Or52B1,-2.600711,1.1949712
Or7G18,-3.328878,0.05528577
Or2J6,-0.5271707,0.7138142
Or6C70,-3.7090037,0.03604534
Or5W15,1.317547,-0.3242469
Or5M11,-1.5323349,1.7303246
Or2G1,2.6358755,1.3967606
Or8B54,1.5759809,-1.3583373
Or2Y1D,3.229551,1.2651056
Or9Q2,1.4964212,0.41398358
Or11N2,1.2311997,0.13968505
Or6E1,-2.033329,-2.0892293
Or5Ak22,1.9114858,1.0392637
Or2Y8,2.7394676,-0.22784169
Or10Aa1,0.4847502,-2.2917144
Or2A5,-0.3273089,-1.0328225
Or51Aa5,-0.9690112,1.3173507
Or5W20,1.7007785,-0.62916666
Or6C3,-0.138433,-1.7999645
Or14A260,1.2712963,0.25327381
Or6C69C,-3.5421832,-0.10161864
Or9A7,-0.67448145,0.3067749
Or12D17,1.5375999,-1.0461206
Or4A69,2.6651478,-1.3389196
Or5P6,-1.643334,2.8787968
Or2K2,0.5254865,3.1631541
Or8B12,1.9627974,0.54729545
Or8G51,-0.9948161,-0.12434946
Or4K1,-1.2828487,-1.9909698
Or9S23,1.7401104,0.63495624
Or2D4,1.9153078,-0.446767
Or8C9,-0.60183716,-0.05656467
Or6C7,0.25704592,0.23569737
Or8I2,-0.12724425,0.8912048
Or52E19,-0.30528897,1.9476534
Or52I2,-2.0096257,-2.7384715
Or52H9,-2.4106932,1.3196985
Or10U3,2.4181619,-0.26583096
Or2M12,0.23062702,1.5826788
Or2Y1F,2.8507228,1.0069693
Or3A1D,1.551539,1.3908029
Or5M10B,0.14974773,0.8264779
Or4N5,1.8542088,0.27055055
Or6Aa1,1.4482152,-1.5018876
Or6F2,0.48016238,0.171054
Or2Ag15,-0.8477395,2.4689138
Or5Ac22,-0.48929343,0.83734304
Or55B3,-2.2565157,-0.7019841
Or51B4,-2.216869,0.48185894
Or52D1,-3.1526453,2.3400655
Or7A40,-2.1392674,0.3227237
Or9M2,0.3637594,-0.43225446
Or4P18,2.8138351,0.44325462
Or8G35,1.3065575,-1.9648528
Or11H6,0.46824005,-1.8958185
Or10Ak12,-0.50159603,-1.7191205
Or5T5,2.4370143,-1.2635646
Or1F19,-1.5888759,2.5331888
Or4Z4,2.009928,-1.9400966
Or4X11,2.6598973,0.18606347
Or10V5,0.37308052,0.606565
Or8K1,-2.0845604,-2.5903394
Or4C122,2.4755058,-0.67627925
Or51F2,-1.7305831,0.33089736
Or2T44,-1.4581426,2.3460596
Or5Af2,0.73310333,0.97343445
Or4A72,2.757466,-0.9841374
Or5Ac15,0.9909055,0.09636847
Or2B4,2.5944703,0.84329116
Or13E8,-0.480725,3.4546847
Or4P19,2.927994,0.07514254
Or8B12I,-1.472676,0.38020852
Or4A27,1.4503742,-0.10752751
Or2Ak5,2.3819053,-0.3868334
Or5M10,-1.2547908,1.9897833
Or7A42,-0.87850225,-3.1785939
Or5L13,1.4281555,0.9272102
Or10Ag60,2.673181,1.4659542
Or5A3,1.318433,1.9075136
Or1Ad8,0.6067837,0.59112495
Or6D15,-0.43034068,0.3881194
Or2Y1E,2.4252913,1.1999223
Or10H28,0.56987286,-0.96290016
Or5Ac16,-0.8549134,-0.54668766
Or5Al6,-0.5987216,0.15332979
Or8B52,2.1282127,0.0071399175
Or8G53,0.27538604,-2.5136266
Or5M8,0.3708984,0.06542198
Or5K15,0.9133245,0.5880419
Or2N1C,2.1917546,-0.54635686
Or10P21,1.2148883,0.90296245
Or6Z1,1.0059628,1.0353652
Or5B112,-0.8637762,3.2088885
Or1E29,-0.38215616,1.2826556
Or14J9,0.6755688,0.26599717
Or7E168,-0.5910339,1.6515049
