,PCA_1,PCA_2,family
Or8G26,-16.586699,-0.12685995,8
Or8G27,-17.594213,1.7997873,8
Or8G28,-12.710162,0.81944543,8
Or8G2B,-14.063672,-7.9949765,8
Or8G30,-13.550455,1.7393665,8
Or8G32,-18.287474,0.6980554,8
Or8G33,-11.173634,2.67772,8
Or8G34,-17.883057,-2.391451,8
Or8G35,-12.3551235,3.295461,8
Or8G36,-15.43305,-1.9029778,8
Or8G37,-18.78921,2.8926897,8
Or8G4,-19.099606,-4.3034873,8
Or8G50,-13.721601,-0.29759523,8
Or8G51,-10.662012,-3.9525821,8
Or8G52,-18.125706,-3.5671225,8
Or8G53,-18.354013,-1.2491413,8
Or8G54,-16.491701,5.0860243,8
Or8G55,-20.800385,0.017721847,8
Or8H10,-13.427154,1.9796118,8
Or8H7,-21.456871,-4.31461,8
Or8H8,-16.842873,-1.2038702,8
Or8H9,-18.232887,-0.27442083,8
Or8I2,-14.261941,1.4259602,8
Or8J3,-12.457221,2.5559728,8
Or8J3B,-9.192476,5.464079,8
Or8J3C,-8.122436,7.052779,8
Or8K1,-5.2799397,2.3980517,8
Or8K16,-10.246401,4.162807,8
Or8K17,-7.5911083,0.010374989,8
Or8K18,-5.8841367,2.1607115,8
Or8K20,-4.963183,1.1515778,8
Or8K21,-8.777382,5.7727804,8
Or8K22,-4.77933,-0.61533815,8
Or8K23,-10.975126,0.7608025,8
Or8K24,-11.326428,-6.646802,8
Or8K25,-6.123382,4.56202,8
Or8K27,-10.812111,-2.76799,8
Or8K28,-12.908413,2.7280486,8
Or8K3,-8.865487,-0.71966994,8
Or8K30,-6.886737,1.3722932,8
Or8K32,-7.209658,3.446179,8
Or8K33,-14.167292,3.1119988,8
Or8K35,-11.650951,4.3319097,8
Or8K37,-11.822211,1.9046102,8
Or8K38,-12.578136,5.3654666,8
Or8K39,-7.045626,2.8441927,8
Or8K3B,-12.739306,2.7575822,8
Or8K40,-10.144633,0.11369305,8
Or8K41,-7.148725,6.534622,8
Or8K53,-2.2132354,-6.122276,8
Or8S10,-5.158816,-13.651115,8
Or8S16,-3.6464782,-5.439965,8
Or8S2,-6.086258,-15.146431,8
Or8S5,-9.446494,-17.852003,8
Or8S8,-6.34271,-16.745274,8
Or8U10,-5.8430724,-0.93393165,8
Or8U8,-8.08692,1.9175794,8
Or8U9,-6.135505,0.31068382,8
Or8W1,-13.989017,0.50817394,8
Or9A2,2.984598,6.599957,9
Or9A4,2.2304475,4.766337,9
Or9A7,2.4404976,0.4801246,9
Or9E1,-1.6400748,3.4305797,9
Or9G19,-11.374109,6.633822,9
Or9G20,-11.383921,4.1281815,9
Or9G3,-10.194097,-2.1843383,9
Or9G4,-0.57577586,-1.0204355,9
Or9G4B,-0.97766745,3.591979,9
Or9G8,-10.520219,4.591898,9
Or9I1,-3.2279263,8.400313,9
Or9I14,-12.127535,3.1568112,9
Or9I16,-1.9459398,7.8771076,9
Or9I1B,-2.7762175,7.564527,9
Or9I2,-1.9361132,7.2636557,9
Or9K2,-5.8692307,-0.63090605,9
Or9K2B,-5.082158,3.028149,9
Or9K7,-8.293301,5.248852,9
Or9M1,-10.543419,6.3134103,9
Or9M1B,-11.597306,5.690898,9
Or9M2,-12.798464,4.3917665,9
Or9Q1,0.12906186,3.5441828,9
Or9Q2,-0.14448796,9.44797,9
Or9R3,-5.7443843,5.770888,9
Or9R7,-7.273526,5.676101,9
Or9S13,-4.4736843,-1.0822589,9
Or9S14,-2.1810067,6.5491447,9
Or9S15,-3.1999586,1.3913022,9
Or9S18,-13.325421,6.8758726,9
Or9S23,-3.3243136,4.525232,9
Or9S27,0.32395774,4.421617,9
Or10A2,5.062617,-1.7519996,10
Or10A3,8.35009,-2.0035882,10
Or10A3B,2.622643,-1.6115137,10
Or10A3M,5.1221423,2.0970154,10
Or10A3N,4.6137114,0.38426608,10
Or10A4,3.397969,0.20683768,10
Or10A48,-1.4769577,-2.8498797,10
Or10A49,1.5152303,1.8364377,10
Or10A5,0.55739105,-3.0788105,10
Or10Aa1,12.273109,-6.176594,10
Or10Aa3,12.596308,-2.744307,10
Or10Ab4,-7.105678,-12.115643,10
Or10Ab5,-1.0954067,4.9285345,10
Or10Ac1,14.293041,-12.79414,10
Or10Ad1,0.8138645,0.42568126,10
Or10Ad1B,2.9221737,1.4198829,10
Or10Ag2,-0.1496352,12.730106,10
Or10Ag52,-2.8627696,4.257209,10
Or10Ag53,0.043388423,3.721939,10
Or10Ag54,1.8798653,7.6697702,10
Or10Ag56,2.5507157,8.097808,10
Or10Ag57,-1.0300785,10.315254,10
Or10Ag58,-3.72239,4.4436035,10
Or10Ag59,0.6302277,-0.49023798,10
Or10Ag60,1.836668,-0.12949856,10
Or10Ak11,-0.9884892,-4.9596286,10
Or10Ak12,-0.1781729,-4.6463327,10
Or10Ak13,1.086999,1.7222179,10
Or10Ak14,4.0534015,-1.452658,10
Or10Ak16,0.15308204,-0.16395926,10
Or10Ak7,2.7773964,-0.9343182,10
Or10Ak8,2.8422127,0.03683626,10
Or10Ak9,-0.8862809,-3.5928502,10
Or10Al2,3.410789,-2.9049752,10
Or10Al3,0.073716275,-4.761401,10
Or10Al4,0.8979883,-5.18253,10
Or10Al5,0.16569278,-4.9214573,10
Or10Al6,0.79577535,-2.8019736,10
Or10Al7,0.29096588,-2.0784578,10
Or10Am5,13.501554,-4.5758405,10
Or10B1,6.205093,2.9786034,10
Or10C1,11.116433,-0.10491154,10
Or10D1,2.3649805,1.3137681,10
Or10D1B,1.6764448,-2.0146158,10
Or10D1C,-2.725062,0.69544137,10
Or10D3,1.8572006,2.1740704,10
Or10D4,3.1085558,-1.7265838,10
Or10D4B,0.70092666,-0.42145512,10
Or10D4C,3.8248239,-2.6199927,10
Or10D5,6.0162663,0.25289065,10
Or10D5J,1.43679,4.3545804,10
Or10G1,14.483223,10.962075,10
Or10G1B,14.760459,11.300532,10
Or10G3,14.443327,9.695288,10
Or10G3B,13.023429,11.467239,10
Or10G6,13.939056,8.731891,10
Or10G7,4.480259,4.624879,10
Or10G9,4.19804,8.073321,10
Or10G9B,4.9051046,6.3230524,10
Or10H1,7.975201,1.8505983,10
Or10H1B,8.097977,3.0397067,10
Or10H28,8.377358,-6.519466,10
Or10J27,-0.30799714,4.082141,10
Or10J3,6.475179,8.851571,10
Or10J3B,10.597178,8.400695,10
Or10J5,-2.7768598,6.7755146,10
Or10J7,2.3366385,3.9034872,10
Or10K2,0.6924717,-17.217299,10
Or10N1,5.059979,1.1080878,10
Or10P1,4.966644,-13.8832855,10
Or10P21,2.884411,0.81822014,10
Or10P22,3.202729,0.84362566,10
Or10Q1,3.3024175,-4.5223684,10
Or10Q12,0.87347233,-4.6012254,10
Or10Q1B,2.8738503,-4.352419,10
Or10Q3,7.7140326,-6.933581,10
Or10S1,8.613688,-0.8932988,10
Or10U3,-0.4310177,-0.32259616,10
Or10U4,0.40277514,2.4292967,10
Or10V1,4.685026,2.4917352,10
Or10V5,2.6193123,-5.921551,10
Or10V9,2.2458894,-6.461476,10
Or10W1,9.192568,-6.4500194,10
Or10X1,3.3821387,6.766528,10
Or10X4,5.302296,7.7322206,10
Or10Z1,-0.29143643,-5.960067,10
Or11A4,2.5177162,-4.957745,11
Or11G1,-0.42300722,1.2645972,11
Or11G2,6.006094,3.0048633,11
Or11G24,2.9543731,5.1986012,11
Or11G25,4.250656,5.2336254,11
Or11G26,4.089563,2.3586686,11
Or11G27,5.9341445,5.353917,11
Or11G7,5.5757246,3.0635972,11
Or11H23,-3.6740327,1.5158935,11
Or11H4,6.9458346,6.5661125,11
Or11H4B,6.145987,9.031371,11
Or11H6,-0.19834012,7.5881376,11
Or11H7,-2.7350464,1.9972079,11
Or11I1,-8.756035,0.58034855,11
Or11J4,-0.484132,8.276815,11
Or11L3,-0.13759473,-2.9284935,11
Or11M3,11.547983,-3.742957,11
Or11N2,2.095625,-4.2192907,11
Or11Q2,-2.6612234,-8.352248,11
Or12D12,0.8226601,-4.1892414,12
Or12D13,5.132227,-2.0714316,12
Or12D17,1.8224883,1.6095064,12
Or12D2,4.442775,-4.9475875,12
Or12E1,-0.07012422,3.6309526,12
Or12E10,4.180112,1.980148,12
Or12E13,-3.6209307,1.3208584,12
Or12E7,2.050856,-0.8905099,12
Or12E8,2.757632,-1.745852,12
Or12E9,2.9516947,-1.2005864,12
Or12J2,2.2647495,-2.970935,12
Or12J3,0.5822265,-0.010507391,12
Or12J4,0.022571202,0.2863493,12
Or12J5,1.0654937,-3.3546915,12
Or12K5,0.7027666,-9.71012,12
Or12K7,2.7515485,-9.807048,12
Or12K8,-0.9248336,-15.642239,12
Or13A1,-2.728011,-1.6888689,13
Or13A17,-6.615817,-10.327395,13
Or13A18,-6.007981,-10.223866,13
Or13A19,0.9205907,-4.16525,13
Or13A20,-4.3427157,-7.8825493,13
Or13A21,3.1814423,-4.54799,13
Or13A22,-5.1116743,-10.692909,13
Or13A24,-4.9230046,-12.641271,13
Or13A25,-8.515181,-11.452332,13
Or13A26,-4.063365,-10.184834,13
Or13A27,-4.754487,-9.226358,13
Or13A28,-5.006574,-12.110944,13
Or13Ae2,4.602721,4.851155,13
Or13C25,-0.83634377,0.22214721,13
Or13C3,-4.008944,9.150379,13
Or13C7,4.8829427,2.901379,13
Or13C7B,3.3294644,3.6678295,13
Or13C7C,3.4280126,2.751138,13
Or13C7D,3.4724395,3.062144,13
Or13D1,0.017691486,5.2857475,13
Or13E8,2.9705672,-8.40825,13
Or13F5,-6.5467257,-8.307671,13
Or13G1,1.7430778,9.386025,13
Or13J1,6.1681514,-8.7032385,13
Or13L2,-4.233265,-1.7445086,13
Or13N4,-0.87610817,3.513851,13
Or13P10,8.298421,10.811351,13
Or13P3,6.05744,3.6635664,13
Or13P4,7.1612616,7.134471,13
Or13P5,7.308774,6.634178,13
Or13P8,6.007758,5.460001,13
Or14A256,-6.8699193,-0.033611335,14
Or14A257,-5.182244,-3.3757908,14
Or14A258,-10.789965,-1.2280848,14
Or14A259,-11.741112,0.5421551,14
Or14A260,-7.101298,3.071889,14
Or14C39,-7.630683,-3.7316825,14
Or14C40,-4.2226105,-6.0180454,14
Or14C41,-9.517542,-3.1121368,14
Or14C43,-11.658617,-4.342654,14
Or14C44,-8.074449,-1.8683374,14
Or14C45,-6.4574175,-0.45025665,14
Or14C46,-6.939366,-1.3691171,14
Or14J1,1.0959554,1.638011,14
Or14J10,-4.794726,-7.578423,14
Or14J2,-4.071756,-2.2489753,14
Or14J3,0.798952,-1.3311483,14
Or14J4,-5.2136035,-3.793691,14
Or14J5,-4.2929325,-6.0353794,14
Or14J6,-3.993453,-6.0790324,14
Or14J7,-1.5072484,-8.250684,14
Or14J8,-5.4058623,-6.9867716,14
Or14J9,-8.68754,-6.5684566,14
Or51A10,12.207906,-12.130045,51
Or51A24,15.715418,-12.709281,51
Or51A25,15.561765,-13.2926035,51
Or51A39,17.158463,-13.174269,51
Or51A43,12.54191,-12.620475,51
Or51A5,7.2415595,-10.343892,51
Or51A6,12.466538,-2.7786775,51
Or51A7,13.088986,-3.9425693,51
Or51A8,13.2874,-9.054527,51
Or51Aa2,14.115512,-12.043347,51
Or51Aa5,14.825102,-11.496259,51
Or51Ab3,9.281367,-10.974613,51
Or51Ac3,16.760168,-9.010936,51
Or51Af1,12.6007185,-22.548597,51
Or51Ag1,13.521997,-16.651432,51
Or51Ah3,18.325006,-5.18494,51
Or51Ai2,23.568266,-11.161626,51
Or51B17,20.494072,-10.241035,51
Or51B4,17.589714,-7.074994,51
Or51B6,20.387537,-7.703793,51
Or51B6B,20.611471,-4.316164,51
Or51D1,19.209549,-8.41752,51
Or51E1,18.852674,-6.8826237,51
Or51F1,8.228574,-13.45039,51
Or51F1D,8.243771,-11.757462,51
Or51F1E,9.608173,-10.745885,51
Or51F2,5.285522,-13.60432,51
Or51F23,8.360732,-11.928376,51
Or51F23B,11.257594,-7.257833,51
Or51F5,11.37415,-11.268592,51
Or51G1,20.64014,-13.402803,51
Or51G2,11.719738,-18.291779,51
Or51H1,20.195974,-6.4481287,51
Or51H5,20.306324,-0.7223186,51
Or51I1,15.283749,-6.8466372,51
Or51I2,18.205757,-11.519297,51
Or51K1,13.676784,-10.482344,51
Or51K2,15.083984,-13.634293,51
Or51L14,19.119936,-18.194519,51
Or51L4,17.585491,-17.867708,51
Or51M1,18.123009,-8.687017,51
Or51Q1,15.822911,-20.567757,51
Or51Q1C,19.053404,-18.245884,51
Or51R1,17.705036,-17.535559,51
Or51S1,26.089384,-14.105824,51
Or51T4,12.856127,-4.037203,51
Or51V14,13.613415,-9.02446,51
Or51V8,12.289391,-13.422958,51
Or52A20,21.342432,-3.5926251,52
Or52A24,21.341,-3.7946584,52
Or52A33,14.131132,-10.831511,52
Or52A5,21.379822,-2.9237819,52
Or52A5B,22.241455,-3.994651,52
Or52Ab2,25.002539,-3.8739054,52
Or52Ab4,26.125257,-3.4250355,52
Or52Ab7,25.363607,-5.752825,52
Or52Ac1,23.400497,-12.707211,52
Or52Ad1,17.036428,-2.4980175,52
Or52Ae7,15.728512,-9.75955,52
Or52Ae9,15.246159,-8.865394,52
Or52B1,24.674547,-2.038233,52
Or52B2,22.153435,-7.519957,52
Or52B3,21.794598,-10.475602,52
Or52B4,20.195925,-5.1028843,52
Or52D1,23.828037,-9.426205,52
Or52D13,13.157137,-4.543328,52
Or52D3,22.966944,-8.075125,52
Or52E15,28.33718,-2.215768,52
Or52E18,25.418161,0.9712307,52
Or52E19,27.585274,1.1272694,52
Or52E19B,28.183249,-0.33217958,52
Or52E2,24.439848,-1.7966383,52
Or52E3,23.92578,2.7483354,52
Or52E4,22.080257,-1.6850282,52
Or52E5,27.37138,-0.21946341,52
Or52E7,23.72589,-1.8322706,52
Or52E8,24.320108,-1.0667341,52
Or52E8B,24.670204,-0.5251084,52
Or52H1,19.128592,2.9228053,52
Or52H2,18.169218,-1.8336427,52
Or52H7,19.137428,-1.2195737,52
Or52H9,14.700878,-4.6445603,52
Or52I2,8.938133,-14.652274,52
Or52J3,21.172335,-7.16282,52
Or52K2,24.15667,-9.324163,52
Or52L1,23.955498,-16.666945,52
Or52M1,25.526754,-7.1632805,52
Or52M2,18.16859,-10.829765,52
Or52N2,13.792136,-6.5476494,52
Or52N20,7.078228,-4.6516867,52
Or52N2B,12.430734,-1.7950175,52
Or52N2C,12.493847,-7.0524325,52
Or52N3,17.426609,-2.2553797,52
Or52N4,10.461859,-5.082463,52
Or52N4B,10.259835,-7.184476,52
Or52N5,14.564873,0.18308261,52
Or52P1,17.822433,-13.1384945,52
Or52P2,17.832277,-9.3031225,52
Or52R1,23.122839,-0.83606833,52
Or52R1B,20.98506,-6.5030303,52
Or52R1C,22.918476,-2.5516918,52
Or52S1,17.72393,-2.6522372,52
Or52S19,19.110544,-0.8970731,52
Or52S1B,21.219294,-6.557964,52
Or52S6,16.591022,-6.534756,52
Or52U1,11.1126995,-9.347964,52
Or52W1,26.811481,-9.201181,52
Or52X1,15.0166,-3.6430635,52
Or52Z1,18.290327,-1.9482943,52
Or52Z12,17.344973,-1.3614548,52
Or52Z13,18.083542,-0.68885595,52
Or52Z14,13.897192,-3.4633262,52
Or55B10,10.843742,-16.386597,55
Or55B3,12.418285,-10.9093685,55
Or55B4,12.302857,-14.334284,55
Or56A3,14.767078,-9.01163,56
Or56A3B,15.666236,-8.431765,56
Or56A4,11.737469,-13.633983,56
Or56A5,15.986811,-7.7522426,56
Or56B1,10.5287075,-9.588006,56
Or56B1B,4.54518,-16.056818,56
Or56B2,11.761347,-7.256418,56
Or56B2J,12.628571,-5.4180303,56
Or56B34,13.537704,-12.8406105,56
Or56B35,12.620876,-11.093262,56
