,PCA_1,PCA_2,Family,Class
Or8b12,15.404523,1.1457882,8,2
Or8b12b,16.991156,-4.073267,8,2
Or8b12c,17.697231,-10.1465845,8,2
Or8b12i,27.264132,-12.802382,8,2
Or8b1b,23.169563,-1.3232341,8,2
Or8b1c,19.4377,1.4905305,8,2
Or8b3,17.869951,5.3078947,8,2
Or8b35,9.834513,4.5051856,8,2
Or8b36,11.560428,-1.9010124,8,2
Or8b37,5.0850477,-3.337334,8,2
Or8b38,8.171838,-1.9899944,8,2
Or8b39,9.676229,3.8399286,8,2
Or8b3b,26.331743,2.4703615,8,2
Or8b4,23.841822,-6.0647793,8,2
Or8b40,5.3363743,2.7656975,8,2
Or8b41,8.331327,8.609049,8,2
Or8b42,10.967123,7.9749446,8,2
Or8b43,23.980564,-4.8218904,8,2
Or8b44,22.409435,12.465227,8,2
Or8b46,19.795282,5.1693254,8,2
Or8b48,21.864693,3.638751,8,2
Or8b49,15.748333,12.435122,8,2
Or8b50,25.9705,1.4517055,8,2
Or8b51,28.844982,-0.6914216,8,2
Or8b52,24.764006,2.6667743,8,2
Or8b53,21.77068,11.946342,8,2
Or8b54,22.426336,1.7463863,8,2
Or8b55,16.660452,4.294398,8,2
Or8b56,12.581955,8.18914,8,2
Or8b57,11.655877,-0.50944555,8,2
Or8b8,9.643547,-6.680154,8,2
Or8b9,13.481332,4.5752773,8,2
Or8c10,15.208869,-26.634466,8,2
Or8c11,25.666885,-6.5275216,8,2
Or8c13,39.23713,-17.506784,8,2
Or8c15,30.82851,-8.711331,8,2
Or8c16,26.142515,-2.7019498,8,2
Or8c17,24.186052,-1.2158271,8,2
Or8c20,28.095848,-14.5587435,8,2
Or8c8,36.698895,-10.332235,8,2
Or8c9,14.985659,6.3772697,8,2
Or8d1,13.175217,-7.9558635,8,2
Or8d1b,11.80833,-4.694139,8,2
Or8d2,12.59741,0.36139962,8,2
Or8d23,13.486413,-1.8283423,8,2
Or8d2b,7.692694,-3.1436713,8,2
Or8d4,10.016094,-0.53726137,8,2
Or8d6,7.8669386,-4.0691357,8,2
Or8g17,22.61149,5.9918675,8,2
Or8g18,25.17549,0.9340078,8,2
Or8g19,22.551632,7.168321,8,2
Or8g2,15.237405,-14.370854,8,2
Or8g20,13.544534,21.24048,8,2
Or8g21,16.255033,3.1221662,8,2
Or8g23,11.181784,6.1388464,8,2
Or8g24,20.343334,1.1311644,8,2
Or8g26,15.203457,9.414392,8,2
Or8g27,22.564955,11.767943,8,2
Or8g28,13.607601,4.9904823,8,2
Or8g2b,15.30129,-9.209498,8,2
Or8g30,17.55865,8.390414,8,2
Or8g32,24.091413,1.1935098,8,2
Or8g33,13.774738,5.8209977,8,2
Or8g34,19.254745,3.0694675,8,2
Or8g35,14.638126,4.9170303,8,2
Or8g36,19.337755,-7.965113,8,2
Or8g37,22.625732,5.016785,8,2
Or8g4,23.064762,-9.770796,8,2
Or8g50,15.650601,4.479796,8,2
Or8g51,11.731038,-1.1094024,8,2
Or8g52,20.11936,-8.195267,8,2
Or8g53,22.357397,3.5345016,8,2
Or8g54,19.307615,8.273531,8,2
Or8g55,26.248432,-1.003202,8,2
Or8h10,13.652479,5.154834,8,2
Or8h7,23.126554,-8.6853,8,2
Or8h8,17.463312,-4.0776925,8,2
Or8h9,21.76307,3.386088,8,2
Or8i2,16.599258,3.2905383,8,2
Or8j3,13.353926,1.2583629,8,2
Or8j3b,8.992275,9.802602,8,2
Or8j3c,11.02543,7.3729186,8,2
Or8k1,3.7688246,11.693324,8,2
Or8k16,13.614674,10.237379,8,2
Or8k17,4.466095,11.338449,8,2
Or8k18,3.723716,10.418959,8,2
Or8k20,1.7664783,10.01849,8,2
Or8k21,9.079751,12.659741,8,2
Or8k22,1.6747127,14.507645,8,2
Or8k23,8.126798,12.073708,8,2
Or8k24,10.481021,3.5475304,8,2
Or8k25,6.6713347,15.231695,8,2
Or8k27,8.857758,3.1223543,8,2
Or8k28,16.091415,11.693578,8,2
Or8k3,8.982327,5.8436465,8,2
Or8k30,5.8662543,14.764261,8,2
Or8k32,6.396465,16.737675,8,2
Or8k33,16.5191,10.176661,8,2
Or8k35,13.141496,12.86796,8,2
Or8k37,13.842832,7.805029,8,2
Or8k38,12.31304,13.847388,8,2
Or8k39,6.1512856,17.589746,8,2
Or8k3b,15.803531,16.441525,8,2
Or8k40,10.547554,2.345695,8,2
Or8k41,6.5639453,21.437807,8,2
Or8k53,-0.6007757,3.2228615,8,2
Or8s10,4.3965874,-24.781694,8,2
Or8s16,-0.5210949,-16.238995,8,2
Or8s2,0.7622167,-23.068007,8,2
Or8s5,7.9577603,-32.1752,8,2
Or8s8,5.814884,-25.12299,8,2
Or8u10,5.421661,6.375329,8,2
Or8u8,9.105253,6.5677757,8,2
Or8u9,4.4807067,4.765387,8,2
Or8w1,13.523426,-0.43965662,8,2
Or9a2,-5.2184534,11.639521,9,2
Or9a4,-3.7710247,9.288018,9,2
Or9a7,-4.1058035,4.854949,9,2
Or9e1,-3.895331,-5.545145,9,2
Or9g19,16.508442,13.169683,9,2
Or9g20,13.675957,12.51552,9,2
Or9g3,10.208631,-2.4841177,9,2
Or9g4,-2.1416645,-2.544939,9,2
Or9g4b,-4.1725683,8.773322,9,2
Or9g8,12.461637,11.991882,9,2
Or9i1,1.7638988,11.776436,9,2
Or9i14,10.485803,0.81503725,9,2
Or9i16,0.95681536,15.265375,9,2
Or9i1b,-0.9858478,11.454788,9,2
Or9i2,0.4336883,14.182575,9,2
Or9k2,4.386009,-2.1397805,9,2
Or9k2b,4.52795,-1.5468844,9,2
Or9k7,4.4726057,7.0977697,9,2
Or9m1,16.206594,2.107414,9,2
Or9m1b,16.731169,7.639441,9,2
Or9m2,18.44621,3.1945767,9,2
Or9q1,-4.9453306,10.9691925,9,2
Or9q2,-4.889235,13.61883,9,2
Or9r3,1.9974838,9.233335,9,2
Or9r7,5.045188,8.722155,9,2
Or9s13,-0.23165022,-12.488067,9,2
Or9s14,1.4215391,-0.36649558,9,2
Or9s15,-0.079211704,-5.660055,9,2
Or9s18,10.716514,3.256612,9,2
Or9s23,-0.8332747,-5.024838,9,2
Or9s27,-5.9762897,-8.112319,9,2
Or10a2,-9.39887,-1.9911065,10,2
Or10a3,-14.992898,-1.2098182,10,2
Or10a3b,-6.5471125,-0.90856844,10,2
Or10a3m,-7.6493845,2.66326,10,2
Or10a3n,-7.313876,2.925336,10,2
Or10a4,-7.792662,-2.6171966,10,2
Or10a48,1.4578248,-7.736262,10,2
Or10a49,-4.6130323,-5.1814003,10,2
Or10a5,-1.8196878,-7.3385406,10,2
Or10aa1,-19.775572,-10.755706,10,2
Or10aa3,-18.92853,-4.1037655,10,2
Or10ab4,8.604423,-18.77892,10,2
Or10ab5,3.2436647,10.379153,10,2
Or10ac1,-20.48908,-14.837004,10,2
Or10ag2,4.920546,15.157076,10,2
Or10ag52,3.33897,12.357977,10,2
Or10ag53,1.4766458,8.017217,10,2
Or10ag54,-1.3633239,6.8454523,10,2
Or10ag56,-1.6063498,7.5889273,10,2
Or10ag57,6.1944523,13.20294,10,2
Or10ag58,3.220235,3.4187107,10,2
Or10ag59,-3.6301465,3.677416,10,2
Or10ag60,-4.3806014,3.6200387,10,2
Or10ak11,-0.5161806,-13.464188,10,2
Or10ak12,-2.9759789,-18.951048,10,2
Or10ak13,1.9821132,-18.651236,10,2
Or10ak14,-4.5543957,-9.730804,10,2
Or10ak16,1.2606343,-12.51255,10,2
Or10ak7,-3.7437468,-11.201744,10,2
Or10ak8,-3.4935265,-12.038149,10,2
Or10ak9,-1.5610905,-12.798201,10,2
Or10al2,-3.0315723,-10.0232115,10,2
Or10al3,-3.8369486,-10.32998,10,2
Or10al4,-5.0170517,-6.542323,10,2
Or10al5,-4.650067,-9.426489,10,2
Or10al6,-3.3024144,-6.4558268,10,2
Or10al7,-2.6621888,-7.574305,10,2
Or10am5,-23.183638,-16.679497,10,2
Or10c1,-15.883106,-3.9006526,10,2
Or10d1,-1.4151872,-4.3230057,10,2
Or10d1b,1.2788786,-11.803836,10,2
Or10d1c,6.5717196,-5.2707205,10,2
Or10d3,-0.22250217,-10.859517,10,2
Or10d4,-4.913157,-11.096073,10,2
Or10d4b,-0.40098774,-12.963083,10,2
Or10d4c,-3.8077605,-9.958011,10,2
Or10d5,-7.799192,-12.896376,10,2
Or10d5j,-2.9452002,-4.2356606,10,2
Or10g1,-21.883415,6.7525268,10,2
Or10g1b,-20.797794,4.521954,10,2
Or10g3,-20.258554,8.860186,10,2
Or10g3b,-18.060135,9.186616,10,2
Or10g6,-13.433059,-0.5439713,10,2
Or10g7,-6.3398433,-10.236492,10,2
Or10g9,-5.71518,-10.099686,10,2
Or10g9b,-4.473942,-10.006669,10,2
Or10h1,-8.282508,-3.4192438,10,2
Or10h1b,-8.009633,-3.343279,10,2
Or10h28,-11.837991,-2.026686,10,2
Or10j27,1.439605,3.837655,10,2
Or10j3,-8.990524,17.38047,10,2
Or10j3b,-11.1602745,12.033167,10,2
Or10j5,5.4194074,6.7729545,10,2
Or10j7,-2.0002267,7.6077805,10,2
Or10k2,-4.034969,-24.445587,10,2
Or10n1,-5.704429,-0.76919025,10,2
Or10p1,-12.25708,-11.697181,10,2
Or10p21,-7.4489417,-3.1473737,10,2
Or10p22,-8.506892,-4.720186,10,2
Or10q1,-6.1647344,-14.171782,10,2
Or10q12,-1.1436003,-4.8940134,10,2
Or10q1b,-2.044392,-12.833581,10,2
Or10q3,-14.313023,-12.58132,10,2
Or10s1,-14.020715,-8.59383,10,2
Or10u3,0.60432935,-8.3878765,10,2
Or10u4,0.12908521,-6.7888713,10,2
Or10v1,-7.6580267,4.210775,10,2
Or10v5,-7.119553,-7.214368,10,2
Or10v9,-9.190265,-10.323877,10,2
Or10w1,-13.541411,-5.6846094,10,2
Or10x1,-4.4841685,10.550043,10,2
Or10x4,-4.807438,10.472492,10,2
Or10z1,-3.284128,-13.559198,10,2
Or11a4,-4.749532,-13.594321,11,2
Or11g1,-1.0174677,-4.895738,11,2
Or11g2,-10.16887,3.9483232,11,2
Or11g24,-4.0161624,1.9045299,11,2
Or11g25,-5.2647715,3.675024,11,2
Or11g26,-4.2274756,-3.3976467,11,2
Or11g27,-8.792325,3.7345977,11,2
Or11g7,-8.298327,-2.435943,11,2
Or11h23,2.1862583,-4.1837745,11,2
Or11h4,-10.6372175,8.248566,11,2
Or11h4b,-8.447824,8.323071,11,2
Or11h6,1.8663486,1.9526258,11,2
Or11h7,-0.4814709,-3.307963,11,2
Or11i1,9.689883,4.223423,11,2
Or11j4,-0.75012785,4.004622,11,2
Or11l3,-5.1002736,-11.166852,11,2
Or11m3,-19.136082,-8.258468,11,2
Or11n2,-3.6966755,-7.415161,11,2
Or11q2,-0.007656861,-15.438215,11,2
Or12d12,-1.4569972,-10.500424,12,2
Or12d13,-5.8052464,-4.500605,12,2
Or12d17,-4.7340336,-1.5645368,12,2
Or12d2,-4.598869,-10.692636,12,2
Or12e1,0.14532922,6.544152,12,2
Or12e10,-10.501407,-2.6881592,12,2
Or12e13,4.9286427,5.654883,12,2
Or12e7,-3.6412144,-0.08077693,12,2
Or12e8,-5.6306767,-0.62699753,12,2
Or12e9,-4.938522,-0.9028598,12,2
Or12j2,-4.431192,-6.3476458,12,2
Or12j3,1.005319,-2.6018484,12,2
Or12j4,1.0623271,-2.5230036,12,2
Or12j5,-2.069416,-1.1683998,12,2
Or12k5,-2.562009,-11.6052685,12,2
Or12k7,-8.02485,-9.374288,12,2
Or12k8,-2.5582993,-19.597404,12,2
Or13a1,2.7731097,-7.1223464,13,2
Or13a17,4.9563756,-22.36478,13,2
Or13a18,8.29692,-23.740831,13,2
Or13a19,-2.9685473,-3.4294567,13,2
Or13a20,4.229368,-18.142702,13,2
Or13a21,-6.851265,0.1971778,13,2
Or13a22,7.547639,-24.754396,13,2
Or13a24,6.4568677,-27.822336,13,2
Or13a25,11.58193,-21.345953,13,2
Or13a26,3.9218054,-21.457352,13,2
Or13a27,6.084004,-21.118933,13,2
Or13a28,4.327325,-20.414434,13,2
Or13ae2,-0.13547756,11.049121,13,2
Or13c25,0.71063596,0.28369793,13,2
Or13c3,6.038412,18.274067,13,2
Or13c7,-6.851697,6.0899525,13,2
Or13c7b,-4.7239895,5.5854464,13,2
Or13c7c,-5.2364445,6.698022,13,2
Or13c7d,-5.0390377,6.1233287,13,2
Or13d1,5.9368873,13.113187,13,2
Or13e8,-6.4685163,-8.976385,13,2
Or13f5,12.019877,-13.447396,13,2
Or13g1,0.9358058,15.895289,13,2
Or13j1,-11.277988,-9.179578,13,2
Or13l2,7.678974,-14.817341,13,2
Or13n4,-1.4404424,7.0838404,13,2
Or13p10,-14.566962,10.345986,13,2
Or13p3,-8.820484,9.308489,13,2
Or13p4,-8.672778,10.705752,13,2
Or13p5,-9.010001,1.3435091,13,2
Or13p8,-8.406941,7.846157,13,2
Or14a256,9.235832,-5.038924,14,2
Or14a257,11.495753,-11.174788,14,2
Or14a258,15.8149805,0.3950859,14,2
Or14a259,19.370985,-2.9524052,14,2
Or14a260,13.308347,0.18673633,14,2
Or14c39,11.45007,-1.4422495,14,2
Or14c40,5.1757164,-1.2154571,14,2
Or14c41,11.158379,2.9782438,14,2
Or14c43,13.705212,1.6140288,14,2
Or14c44,11.427271,3.4736614,14,2
Or14c45,11.525491,3.678652,14,2
Or14c46,7.261752,5.240445,14,2
Or14j1,-1.2994081,2.543106,14,2
Or14j10,4.185936,-11.131693,14,2
Or14j2,3.1049547,-7.072318,14,2
Or14j3,-0.37641653,-4.9927936,14,2
Or14j4,6.408947,-9.621974,14,2
Or14j5,2.799829,-12.797664,14,2
Or14j6,2.9647853,-12.716281,14,2
Or14j7,4.304456,-7.515748,14,2
Or14j8,4.367031,-15.26601,14,2
Or14j9,7.950017,-6.642163,14,2
Or51a10,-6.7924943,-21.814882,51,1
Or51a24,-13.801757,-6.5226502,51,1
Or51a25,-14.91643,-8.02028,51,1
Or51a39,-14.691901,-7.3517666,51,1
Or51a43,-11.334597,-11.273908,51,1
Or51a5,-2.8034143,-1.8157188,51,1
Or51a6,-7.4147906,4.5102096,51,1
Or51a7,-10.546624,11.961619,51,1
Or51a8,-10.743934,-0.672914,51,1
Or51aa2,-11.388124,-3.325303,51,1
Or51aa5,-12.779655,-3.3677945,51,1
Or51ab3,-12.371445,-13.849575,51,1
Or51ac3,-14.551722,-0.5401791,51,1
Or51af1,-12.753652,-23.80926,51,1
Or51ag1,-13.058585,-14.850296,51,1
Or51ah3,-19.45567,9.324372,51,1
Or51ai2,-27.102005,-5.173075,51,1
Or51b17,-19.995712,-3.6445982,51,1
Or51b4,-16.17097,-4.2529078,51,1
Or51b6,-19.247824,-1.4473512,51,1
Or51b6b,-20.298431,6.2818985,51,1
Or51d1,-22.189167,-0.28059155,51,1
Or51e1,-19.294062,0.060215753,51,1
Or51e2,-17.53768,-0.29917848,51,1
Or51f1,-4.9936447,-10.261587,51,1
Or51f1d,-6.40841,-7.4728093,51,1
Or51f1e,-5.3498087,-4.8151565,51,1
Or51f2,-4.1812634,-4.663488,51,1
Or51f23,-6.705356,-5.445136,51,1
Or51f23b,-9.357239,2.9838715,51,1
Or51f5,-10.762384,-1.8204782,51,1
Or51g1,-20.183004,-0.5226133,51,1
Or51g2,-14.054289,-16.21462,51,1
Or51h1,-24.544703,3.49151,51,1
Or51h5,-20.440744,11.61888,51,1
Or51i1,-14.303924,-3.8856335,51,1
Or51i2,-15.746644,-5.165549,51,1
Or51k1,-13.412218,-1.4119189,51,1
Or51k2,-16.483976,-7.0332265,51,1
Or51l14,-20.116146,-8.197654,51,1
Or51l4,-17.837366,-9.847849,51,1
Or51m1,-17.95135,-3.515941,51,1
Or51q1,-16.749956,-16.848282,51,1
Or51q1c,-19.493065,-13.097894,51,1
Or51r1,-20.713076,-13.13053,51,1
Or51s1,-27.001478,-12.963062,51,1
Or51t4,-12.930082,2.8501246,51,1
Or51v14,-10.870972,0.6573964,51,1
Or51v8,-8.504801,-4.0028534,51,1
Or52a20,-22.253208,9.186291,52,1
Or52a24,-23.49279,8.635498,52,1
Or52a33,-19.80125,10.971956,52,1
Or52a5,-18.949839,14.362493,52,1
Or52a5b,-19.580805,13.754839,52,1
Or52ab2,-27.229992,12.021755,52,1
Or52ab4,-29.191391,10.793908,52,1
Or52ab7,-27.435911,11.578644,52,1
Or52ac1,-23.82677,-2.2266324,52,1
Or52ad1,-19.253527,9.2494955,52,1
Or52ae7,-14.951998,-0.36499706,52,1
Or52ae9,-15.175011,3.0425246,52,1
Or52b1,-27.20436,6.85428,52,1
Or52b2,-23.891655,0.7835102,52,1
Or52b3,-26.605175,-4.166761,52,1
Or52b4,-19.610695,6.159856,52,1
Or52d1,-24.97632,-2.0862534,52,1
Or52d13,-13.949975,-0.24090216,52,1
Or52d3,-25.764877,0.48287854,52,1
Or52e15,-29.53899,11.972622,52,1
Or52e18,-18.858917,16.19585,52,1
Or52e19,-28.010395,10.007407,52,1
Or52e19b,-29.539251,10.352751,52,1
Or52e2,-23.481792,10.4850645,52,1
Or52e3,-24.258568,12.1841345,52,1
Or52e4,-18.591545,9.888846,52,1
Or52e5,-29.053318,14.7327385,52,1
Or52e7,-21.555386,10.239843,52,1
Or52e8,-25.85458,7.6767087,52,1
Or52e8b,-25.07019,10.107178,52,1
Or52h1,-20.166409,10.353944,52,1
Or52h2,-16.806612,3.6879237,52,1
Or52h7,-17.954693,9.284338,52,1
Or52h9,-13.52587,4.6060057,52,1
Or52i2,-7.2781544,-19.42848,52,1
Or52j3,-22.237034,0.38401747,52,1
Or52k2,-27.241938,5.9978056,52,1
Or52l1,-26.706783,-10.810161,52,1
Or52m1,-23.629177,-0.49608466,52,1
Or52m2,-21.937778,-3.9569309,52,1
Or52n2,-12.416431,-2.5551932,52,1
Or52n20,-3.5991912,3.1235182,52,1
Or52n2b,-11.937978,5.719944,52,1
Or52n2c,-11.733704,-3.4375782,52,1
Or52n3,-18.467762,11.4936695,52,1
Or52n4,-9.785371,-2.1456695,52,1
Or52n4b,-9.3776455,-6.174277,52,1
Or52n5,-14.511343,8.310933,52,1
Or52p1,-21.41795,-12.443311,52,1
Or52p2,-20.52923,-9.929524,52,1
Or52r1,-23.033976,-0.07921553,52,1
Or52r1b,-21.324125,-5.182726,52,1
Or52r1c,-21.47751,-2.7112908,52,1
Or52s1,-17.648438,3.4727232,52,1
Or52s19,-23.090948,-2.894989,52,1
Or52s1b,-20.492598,1.1469772,52,1
Or52s6,-20.56723,-5.9135723,52,1
Or52u1,-13.921834,-9.155778,52,1
Or52w1,-32.13533,1.1860185,52,1
Or52x1,-17.752838,-1.8837739,52,1
Or52z1,-19.24966,8.932974,52,1
Or52z12,-20.020603,10.681276,52,1
Or52z13,-17.683846,8.407661,52,1
Or52z14,-12.942302,6.9144,52,1
Or55b10,-14.146008,-10.779942,55,1
Or55b3,-17.778942,-4.075259,55,1
Or55b4,-16.975925,-8.546972,55,1
Or56a3,-19.4991,3.7226858,56,1
Or56a3b,-21.356455,2.0246503,56,1
Or56a4,-9.527643,-1.442369,56,1
Or56a5,-15.739468,1.7544365,56,1
Or56b1,-14.179263,-5.4635715,56,1
Or56b1b,-9.034675,-11.623788,56,1
Or56b2,-13.596076,2.0248477,56,1
Or56b2j,-17.264784,-5.6185846,56,1
Or56b34,-16.250647,-4.085984,56,1
Or56b35,-14.611408,-2.8353364,56,1
